"nameEnglish","nameLatin","changeExtent"
"Carmiols Tanager","Chlorothraupis carmioli",100
"Barred Forest-falcon","Micrastur ruficollis",380
"Andean Cock-of-the-rock","Rupicola peruvianus",-100
"Foothill Antwren","Epinecrophylla spodionota",0
"Buff-throated Tody-tyrant","Hemitriccus rufigularis",-50
"Peruvian Piedtail","Phlogophilus harterti",-50
"Chestnut-breasted Wren","Cyphorhinus thoracicus",-50
"Versicolored Barbet","Eubucco versicolor",-150
"Sharpbill","Oxyruncus cristatus",100
"Gray-tailed Piha","Snowornis subalaris",-50
"Yellow-throated Chlorospingus","Chlorospingus flavigularis",-50
"Booted Racket-tail","Ocreatus underwoodii",-200
"Black-billed Treehunter","Thripadectes melanorhynchus",50
"White-throated Quail-dove","Zentrygon frenata",100
