"person","activity"
1,"Disturbing tiger kill"
2,"Forest products"
3,"Grass/fodder"
4,"Fuelwood/timber"
5,"Grass/fodder"
6,"Forest products"
7,"Grass/fodder"
8,"Fishing"
9,"Fuelwood/timber"
10,"Grass/fodder"
11,"Forest products"
12,"Forest products"
13,"Forest products"
14,"Grass/fodder"
15,"Forest products"
16,"Grass/fodder"
17,"Grass/fodder"
18,"Grass/fodder"
19,"Fuelwood/timber"
20,"Fishing"
21,"Grass/fodder"
22,"Grass/fodder"
23,"Grass/fodder"
24,"Fuelwood/timber"
25,"Grass/fodder"
26,"Herding"
27,"Grass/fodder"
28,"Herding"
29,"Grass/fodder"
30,"Fishing"
31,"Grass/fodder"
32,"Grass/fodder"
33,"Sleeping in house"
34,"Grass/fodder"
35,"Grass/fodder"
36,"Grass/fodder"
37,"Grass/fodder"
38,"Grass/fodder"
39,"Grass/fodder"
40,"Herding"
41,"Herding"
42,"Fishing"
43,"Grass/fodder"
44,"Forest products"
45,"Forest products"
46,"Grass/fodder"
47,"Grass/fodder"
48,"Forest products"
49,"Disturbing tiger kill"
50,"Walking"
51,"Fishing"
52,"Herding"
53,"Grass/fodder"
54,"Grass/fodder"
55,"Sleeping in house"
56,"Fishing"
57,"Fishing"
58,"Toilet"
59,"Grass/fodder"
60,"Walking"
61,"Grass/fodder"
62,"Grass/fodder"
63,"Grass/fodder"
64,"Grass/fodder"
65,"Grass/fodder"
66,"Grass/fodder"
67,"Grass/fodder"
68,"Fuelwood/timber"
69,"Grass/fodder"
70,"Disturbing tiger kill"
71,"Herding"
72,"Grass/fodder"
73,"Grass/fodder"
74,"Grass/fodder"
75,"Herding"
76,"Grass/fodder"
77,"Grass/fodder"
78,"Grass/fodder"
79,"Grass/fodder"
80,"Grass/fodder"
81,"Forest products"
82,"Toilet"
83,"Walking"
84,"Disturbing tiger kill"
85,"Disturbing tiger kill"
86,"Sleeping in house"
87,"Forest products"
88,"Fishing"
