"gene","size","name","description"
"ENSG00000000003.14",3796,"TSPAN6","tetraspanin"
"ENSG00000000005.5",1339,"TNMD","tenomodulin"
"ENSG00000000419.12",1161,"DPM1","dolichyl-phosphate"
"ENSG00000000457.13",6364,"SCYL3","SCY1"
"ENSG00000000460.16",4355,"C1orf112","chromosome"
"ENSG00000000938.12",2729,"FGR","FGR"
"ENSG00000000971.15",4127,"CFH","complement"
"ENSG00000001036.13",2356,"FUCA2","alpha-L-fucosidase"
"ENSG00000001084.11",3813,"GCLC","glutamate-cysteine"
"ENSG00000001167.14",3811,"NFYA","nuclear"
"ENSG00000001460.17",2804,"STPG1","sperm"
"ENSG00000001461.16",5481,"NIPAL3","NIPA"
"ENSG00000001497.16",2439,"LAS1L","LAS1"
"ENSG00000001561.6",4651,"ENPP4","ectonucleotide"
"ENSG00000001617.11",3802,"SEMA3F","semaphorin"
"ENSG00000001626.14",6132,"CFTR","cystic"
"ENSG00000001629.9",6081,"ANKIB1","ankyrin"
"ENSG00000001630.15",3210,"CYP51A1","cytochrome"
"ENSG00000001631.15",4762,"KRIT1","KRIT1,"
"ENSG00000002016.17",2710,"RAD52","RAD52"
"ENSG00000002330.13",1157,"BAD","BCL2"
"ENSG00000002549.12",2213,"LAP3","leucine"
"ENSG00000002586.19",1291,"CD99","CD99"
"ENSG00000002587.9",8031,"HS3ST1","heparan"
"ENSG00000002726.20",3135,"AOC1","amine"
"ENSG00000002745.12",3147,"WNT16","Wnt"
"ENSG00000002746.14",9501,"HECW1","HECT,"
"ENSG00000002822.15",2991,"MAD1L1","mitotic"
"ENSG00000002834.17",4109,"LASP1","LIM"
"ENSG00000002919.14",2733,"SNX11","sorting"
"ENSG00000002933.7",1530,"TMEM176A","transmembrane"
"ENSG00000003056.7",2756,"M6PR","mannose-6-phosphate"
"ENSG00000003096.14",5331,"KLHL13","kelch"
"ENSG00000003137.8",4732,"CYP26B1","cytochrome"
"ENSG00000003147.17",2458,"ICA1","islet"
"ENSG00000003249.13",2689,"DBNDD1","dysbindin"
"ENSG00000003393.14",6644,"ALS2","ALS2,"
"ENSG00000003400.14",5928,"CASP10","caspase"
"ENSG00000003402.19",14672,"CFLAR","CASP8"
"ENSG00000003436.15",3885,"TFPI","tissue"
"ENSG00000003509.15",2176,"NDUFAF7","NADH:ubiquinone"
"ENSG00000003756.16",3188,"RBM5","RNA"
"ENSG00000003987.13",3850,"MTMR7","myotubularin"
"ENSG00000003989.17",7638,"SLC7A2","solute"
"ENSG00000004059.10",1103,"ARF5","ADP"
"ENSG00000004139.13",10309,"SARM1","sterile"
"ENSG00000004142.11",2121,"POLDIP2","DNA"
"ENSG00000004399.12",7094,"PLXND1","plexin"
"ENSG00000004455.16",3586,"AK2","adenylate"
"ENSG00000004468.12",5668,"CD38","CD38"
"ENSG00000004478.7",3732,"FKBP4","FK506"
"ENSG00000004487.16",3059,"KDM1A","lysine"
"ENSG00000004534.14",4010,"RBM6","RNA"
"ENSG00000004660.14",3563,"CAMKK1","calcium/calmodulin"
"ENSG00000004700.15",3702,"RECQL","RecQ"
"ENSG00000004766.15",5736,"VPS50","VPS50,"
"ENSG00000004776.12",1457,"HSPB6","heat"
"ENSG00000004777.18",4219,"ARHGAP33","Rho"
"ENSG00000004779.9",885,"NDUFAB1","NADH:ubiquinone"
"ENSG00000004799.7",3576,"PDK4","pyruvate"
"ENSG00000004809.13",2033,"SLC22A16","solute"
"ENSG00000004838.13",2896,"ZMYND10","zinc"
"ENSG00000004846.16",5811,"ABCB5","ATP"
"ENSG00000004848.7",2876,"ARX","aristaless"
"ENSG00000004864.13",3192,"SLC25A13","solute"
"ENSG00000004866.20",2899,"ST7","suppression"
"ENSG00000004897.11",5801,"CDC27","cell"
"ENSG00000004939.14",4958,"SLC4A1","solute"
"ENSG00000004948.13",3696,"CALCR","calcitonin"
"ENSG00000004961.14",2277,"HCCS","holocytochrome"
"ENSG00000004975.11",3018,"DVL2","dishevelled"
"ENSG00000005001.9",1386,"PRSS22","serine"
"ENSG00000005007.12",5348,"UPF1","UPF1,"
"ENSG00000005020.12",3998,"SKAP2","src"
"ENSG00000005022.5",1274,"SLC25A5","solute"
"ENSG00000005059.15",2278,"MCUB","mitochondrial"
"ENSG00000005073.5",2295,"HOXA11","homeobox"
"ENSG00000005075.15",932,"POLR2J","RNA"
"ENSG00000005100.12",5618,"DHX33","DEAH-box"
"ENSG00000005102.12",2707,"MEOX1","mesenchyme"
"ENSG00000005108.15",10663,"THSD7A","thrombospondin"
"ENSG00000005156.11",8400,"LIG3","DNA"
"ENSG00000005175.9",4370,"RPAP3","RNA"
"ENSG00000005187.11",2845,"ACSM3","acyl-CoA"
"ENSG00000005189.19",2722,"REXO5","RNA"
"ENSG00000005194.14",2182,"CIAPIN1","cytokine"
"ENSG00000005206.16",3456,"SPPL2B","signal"
"ENSG00000005238.19",5771,"FAM214B","family"
"ENSG00000005243.9",895,"COPZ2","coatomer"
"ENSG00000005249.12",3745,"PRKAR2B","protein"
"ENSG00000005302.17",3446,"MSL3","MSL"
"ENSG00000005339.14",10803,"CREBBP","CREB"
"ENSG00000005379.15",7483,"TSPOAP1","TSPO"
"ENSG00000005381.7",3215,"MPO","myeloperoxidase"
"ENSG00000005421.8",2568,"PON1","paraoxonase"
"ENSG00000005436.13",4440,"GCFC2","GC-rich"
"ENSG00000005448.16",1147,"WDR54","WD"
"ENSG00000005469.11",3175,"CROT","carnitine"
"ENSG00000005471.16",4020,"ABCB4","ATP"
"ENSG00000005483.20",6874,"KMT2E","lysine"
"ENSG00000005486.16",1878,"RHBDD2","rhomboid"
"ENSG00000005513.9",3049,"SOX8","SRY-box"
"ENSG00000005700.14",6054,"IBTK","inhibitor"
"ENSG00000005801.16",3342,"ZNF195","zinc"
"ENSG00000005810.17",14736,"MYCBP2","MYC"
"ENSG00000005812.10",3503,"FBXL3","F-box"
"ENSG00000005844.17",5213,"ITGAL","integrin"
"ENSG00000005882.11",3440,"PDK2","pyruvate"
"ENSG00000005884.17",4888,"ITGA3","integrin"
"ENSG00000005889.15",7558,"ZFX","zinc"
"ENSG00000005893.15",4030,"LAMP2","lysosomal"
"ENSG00000005961.17",3333,"ITGA2B","integrin"
"ENSG00000005981.12",3825,"ASB4","ankyrin"
"ENSG00000006007.11",2958,"GDE1","glycerophosphodiester"
"ENSG00000006015.17",839,"REX1BD","required"
"ENSG00000006016.10",1792,"CRLF1","cytokine"
"ENSG00000006025.11",3640,"OSBPL7","oxysterol"
"ENSG00000006042.11",4434,"TMEM98","transmembrane"
"ENSG00000006047.12",1590,"YBX2","Y-box"
"ENSG00000006059.3",1287,"KRT33A","keratin"
"ENSG00000006062.14",4583,"MAP3K14","mitogen-activated"
"ENSG00000006071.13",5336,"ABCC8","ATP"
"ENSG00000006116.3",3088,"CACNG3","calcium"
"ENSG00000006118.14",3480,"TMEM132A","transmembrane"
"ENSG00000006125.17",5702,"AP2B1","adaptor"
"ENSG00000006128.11",1239,"TAC1","tachykinin"
"ENSG00000006194.9",3830,"ZNF263","zinc"
"ENSG00000006210.6",5796,"CX3CL1","C-X3-C"
"ENSG00000006282.20",2769,"SPATA20","spermatogenesis"
"ENSG00000006283.17",8138,"CACNA1G","calcium"
"ENSG00000006327.13",1133,"TNFRSF12A","TNF"
"ENSG00000006377.10",2304,"DLX6","distal-less"
"ENSG00000006432.15",11169,"MAP3K9","mitogen-activated"
"ENSG00000006451.7",2880,"RALA","RAS"
"ENSG00000006453.13",3622,"BAIAP2L1","BAI1"
"ENSG00000006459.10",9272,"KDM7A","lysine"
"ENSG00000006468.13",6740,"ETV1","ETS"
"ENSG00000006530.15",3849,"AGK","acylglycerol"
"ENSG00000006534.15",2786,"ALDH3B1","aldehyde"
"ENSG00000006555.10",3345,"TTC22","tetratricopeptide"
"ENSG00000006576.16",5198,"PHTF2","putative"
"ENSG00000006606.8",703,"CCL26","C-C"
"ENSG00000006607.13",6065,"FARP2","FERM,"
"ENSG00000006611.15",2700,"USH1C","USH1"
"ENSG00000006625.17",1173,"GGCT","gamma-glutamylcyclotransferase"
"ENSG00000006634.7",3907,"DBF4","DBF4"
"ENSG00000006638.11",2608,"TBXA2R","thromboxane"
"ENSG00000006652.13",3397,"IFRD1","interferon"
"ENSG00000006659.12",774,"LGALS14","galectin"
"ENSG00000006695.10",2873,"COX10","COX10,"
"ENSG00000006704.10",5868,"GTF2IRD1","GTF2I"
"ENSG00000006712.14",2066,"PAF1","PAF1"
"ENSG00000006715.15",5903,"VPS41","VPS41,"
"ENSG00000006740.16",4228,"ARHGAP44","Rho"
"ENSG00000006744.18",3148,"ELAC2","elaC"
"ENSG00000006747.14",9713,"SCIN","scinderin"
"ENSG00000006756.15",5159,"ARSD","arylsulfatase"
"ENSG00000006757.11",3372,"PNPLA4","patatin"
"ENSG00000006788.13",6067,"MYH13","myosin"
"ENSG00000006831.9",4018,"ADIPOR2","adiponectin"
"ENSG00000006837.11",2160,"CDKL3","cyclin"
"ENSG00000007001.12",2435,"UPP2","uridine"
"ENSG00000007038.10",1106,"PRSS21","serine"
"ENSG00000007047.14",5209,"MARK4","microtubule"
"ENSG00000007062.11",4349,"PROM1","prominin"
"ENSG00000007080.10",1055,"CCDC124","coiled-coil"
"ENSG00000007129.17",1691,"CEACAM21","carcinoembryonic"
"ENSG00000007168.12",5497,"PAFAH1B1","platelet"
"ENSG00000007171.17",4176,"NOS2","nitric"
"ENSG00000007174.17",13750,"DNAH9","dynein"
"ENSG00000007202.14",7407,"KIAA0100","KIAA0100"
"ENSG00000007216.14",2855,"SLC13A2","solute"
"ENSG00000007237.18",8033,"GAS7","growth"
"ENSG00000007255.10",805,"TRAPPC6A","trafficking"
"ENSG00000007264.14",2133,"MATK","megakaryocyte-associated"
"ENSG00000007306.14",2489,"CEACAM7","carcinoembryonic"
"ENSG00000007312.12",1269,"CD79B","CD79b"
"ENSG00000007314.12",7805,"SCN4A","sodium"
