gender,survival
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Survived
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Men,Died
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
Women,Survived
